MLD,IN_PH,IN_TSS,IN_COD,IN_BOD,IN_MPN,OUT_PH,OUT_DO,OUT_TSS,OUT_COD,OUT_BOD,OUT_MPN
0.5358500574661834,0.5468750000000003,0.7071823204419889,0.5272727272727272,0.6728971962616822,0.27329490874159457,7.59,5.1,39.0,88.0,29.0,0.06766666666666668
0.1998939085845638,0.46875000000000067,0.6353591160220995,0.45454545454545453,0.6728971962616822,0.30835734870317005,7.64,5.2,36.0,72.0,25.0,0.07716666666666668
0.7215100344797101,0.40625000000000067,0.5911602209944752,0.34545454545454546,0.5794392523364486,0.3429394812680115,7.66,5.0,36.0,80.0,27.0,0.05766666666666667
0.8452833524887278,0.5468750000000003,0.6961325966850829,0.4909090909090909,0.5327102803738317,0.34390009606147925,7.6,5.1,39.0,64.0,24.0,0.060500000000000005
0.8806471576341615,0.625,0.6298342541436464,0.45454545454545453,0.48598130841121495,0.30835734870317005,7.69,4.9,42.0,72.0,26.0,0.07100000000000001
0.8010785960569358,0.5312500000000007,0.5469613259668509,0.34545454545454546,0.719626168224299,0.45100864553314124,7.54,5.2,35.0,80.0,28.0,0.05833333333333333
0.6065776677570507,0.45312499999999967,0.7237569060773481,0.4909090909090909,0.7009345794392523,0.27329490874159457,7.58,5.0,44.0,76.0,25.0,0.05866666666666667
0.677305278047918,0.5781249999999997,0.6408839779005525,0.41818181818181815,0.5794392523364486,0.5321805955811718,7.63,5.1,41.0,84.0,27.0,0.06583333333333334
0.827601449916011,0.5156249999999997,0.6906077348066298,0.5272727272727272,0.6728971962616822,0.23102785782901059,7.56,4.8,34.0,72.0,25.0,0.07933333333333335
0.8629652550614446,0.625,0.5580110497237569,0.45454545454545453,0.6542056074766355,0.22718539865513926,7.68,5.1,37.0,68.0,28.0,0.07
0.916010962779595,0.5468750000000003,0.5193370165745856,0.509090909090909,0.719626168224299,0.22766570605187314,7.72,5.3,42.0,80.0,26.0,0.06266666666666666
0.8806471576341615,0.5,0.5911602209944752,0.38181818181818183,0.5327102803738317,0.28338136407300674,7.65,5.0,46.0,64.0,25.0,0.059666666666666666
0.38555388559809045,0.40625000000000067,0.430939226519337,0.3090909090909091,0.5794392523364486,0.34438040345821325,7.59,4.9,33.0,56.0,29.0,0.06366666666666666
0.5535319600389003,0.46875000000000067,0.6519337016574586,0.45454545454545453,0.6728971962616822,0.29154658981748316,7.57,5.1,37.0,72.0,26.0,0.07533333333333335
0.7215100344797101,0.42187500000000033,0.7569060773480663,0.43636363636363634,0.6261682242990654,0.3804034582132565,7.58,5.2,40.0,80.0,25.0,0.07483333333333335
0.527009106179825,0.5156249999999997,0.7624309392265194,0.5272727272727272,0.5327102803738317,0.3611911623439001,7.63,5.3,46.0,88.0,28.0,0.06783333333333333
0.6684643267615595,0.375,0.5082872928176796,0.4,0.5607476635514018,0.3045148895292988,7.6,4.9,36.0,64.0,25.0,0.062000000000000006
0.6242595703297675,0.46875000000000067,0.7734806629834254,0.4909090909090909,0.6261682242990654,0.3659942363112392,7.64,5.1,38.0,72.0,27.0,0.06666666666666667
0.5977367164706923,0.5937500000000007,0.5966850828729282,0.45454545454545453,0.5794392523364486,0.46205571565802117,7.56,4.8,44.0,84.0,26.0,0.0695
0.5888957651843338,0.48437500000000033,0.7403314917127072,0.5636363636363636,0.6542056074766355,0.2867435158501441,7.62,5.0,40.0,68.0,28.0,0.0655
0.8099195473432942,0.5468750000000003,0.6961325966850829,0.5272727272727272,0.6728971962616822,0.23102785782901059,7.65,5.2,43.0,88.0,24.0,0.06833333333333334
0.677305278047918,0.40625000000000067,0.5524861878453039,0.41818181818181815,0.5794392523364486,0.3285302593659942,7.59,4.9,45.0,80.0,27.0,0.057999999999999996
0.7126690831933516,0.5156249999999997,0.6795580110497238,0.45454545454545453,0.6728971962616822,0.26512968299711814,7.7,5.3,40.0,72.0,26.0,0.06816666666666667
